Name,Début,Fin,Aux_Début,Aux_Fin,Duree
Mairan,1741,1743,0.0,0.0,2.0
Fouchy,1743,1776,0.0,0.0,33.0
Condorcet,1776,1793,0.0,0.0,17.0
Prony,1796,1798,0.0,0.0,2.0
Lefevre-Gineau,1798,1800,0.0,0.0,2.0
Sylvestre Lacroix,1802,1803,0.0,0.0,1.0
Delambre,1800,1802,1803.0,1822.0,21.0
Fourier,1822,1830,0.0,0.0,8.0
Arago,1830,1853,0.0,0.0,23.0
De Beaumont,1853,1874,0.0,0.0,21.0
Bertrand,1874,1900,0.0,0.0,26.0
Darboux,1900,1917,0.0,0.0,17.0
Picard,1917,1942,0.0,0.0,25.0
De Broglie,1942,1975,0.0,0.0,33.0
Germain,1975,1996,0.0,0.0,21.0
Dercourt,1996,2010,0.0,0.0,14.0
Bréchignac,2011,2018,0.0,0.0,7.0
Ghys,2019,2022,0.0,0.0,3.0
Lacepède,1795,1797,1801.0,1803.0,4.0
Lassus,1797,1799,0.0,0.0,2.0
Cuvier,1799,1801,1803.0,1832.0,31.0
Dulong,1832,1833,0.0,0.0,1.0
Flourens,1833,1868,0.0,0.0,35.0
Dumas,1868,1884,0.0,0.0,16.0
Jamin,1884,1886,0.0,0.0,2.0
Vulpian,1886,1887,0.0,0.0,1.0
Pasteur,1887,1889,0.0,0.0,2.0
Berthelot,1889,1907,0.0,0.0,18.0
de Lapparent,1907,1908,0.0,0.0,1.0
Becquerel,1908,1909,0.0,0.0,1.0
Van Tieghem,1908,1914,0.0,0.0,6.0
Alfred Lacroix,1914,1948,0.0,0.0,34.0
Courrier,1948,1986,0.0,0.0,38.0
Jost,1986,1991,0.0,0.0,5.0
Gros,1991,2001,0.0,0.0,10.0
Le Douarin,2001,2006,0.0,0.0,5.0
Bach,2006,2015,0.0,0.0,9.0
Cossart,2016,2021,0.0,0.0,5.0
