Adverb,Number,Categorie,Assertivité,Temporalité,Expérience
plus,5933,quantité,default value,default value
ne,5339,négation,default value,default value
pas,3139,négation,default value,default value
n,2310,négation,default value,default value
encore,1404,temps_quantité_logique,default value,default value
si,1264,default value,default value,default value
moins,1233,quantité,default value,default value
bien,1078,manière,default value,default value,plus
aussi,1006,,,default value
même,1004,logique,default value,default value
peu,978,quantité,default value,default value
point,911,négation,default value,default value
toujours,830,temps,certain,eternel
comme,826,logique,default value,default value
trop,685,quantité,default value,default value
alors,669,liaison,default value,default value
jamais,626,temps,certain,nul
presque,624,quantité,jsp,default value
tout,616,quantité,jsp,default value
ainsi,584,logique,default value,default value
tant,568,quantité,default value,default value
souvent,560,temps,presque,presque
très,537,quantité,default value,default value
peut-être,521,affirmation,moitié,default value
enfin,509,liaison_temps,default value,default value
cependant,466,logique,default value,default value
longtemps,440,temps,jsp,presque
assez,434,quantité,default value,default value
beaucoup,425,quantité,default value,default value
surtout,399,affirmation,jsp,default value
rien,393,négation,default value,default value
non,390,négation,default value,default value
déjà,383,temps,default value,tot
donc,364,logique,default value,default value
bientôt,355,temps,default value,presque
là,319,lieu,default value,default value
mieux,302,manière,default value,default value,plus
seulement,294,quantité_logique,default value,default value
autant,273,quantité,default value,default value
près,261,lieu,default value,default value
quelquefois,243,temps,peu,peu
également,232,liaison,default value,default value
combien,206,interrogation,default value,default value
loin,181,lieu,default value,default value
ici,178,lieu,default value,default value
aujourdhui,176,temps,default value,tot
ensuite,165,liaison,default value,suite
lors,158,temps,default value,default value
plutôt,154,logique,presque,default value
partout,126,lieu,certain,default value
ailleurs,117,lieu,default value,default value
fort,117,manière,default value,default value,plus
comment,116,interrogation,default value,default value
que,106,interrogation,default value,default value
heureusement,101,logique_modal,default value,default value,plus
entièrement,100,manière,jsp,default value
successivement,97,manière,default value,suite
auprès,96,lieu,default value,default value
tantôt,94,temps,default value,suite
personne,88,négation,default value,default value
ci,87,lieu,default value,default value
guère,85,négation,default value,default value
davantage,81,quantité,default value,default value
après,77,liaison,default value,suite
aussitôt,76,temps,default value,tot
audessus,74,lieu,default value,default value
aisément,73,manière_modal,default value,default value
absolument,73,affirmation,certain,default value
constamment,71,manière,jsp,jsp
rarement,70,quantité,jsp,peu
naturellement,66,manière_modal,certain,default value
précisment,64,manière,default value,default value
tard,64,temps,default value,jsp
