,x,y,labels
0,7.0402174,6.6789904,-1
1,8.894957,6.535992,-1
2,9.847178,5.326341,4
3,8.620653,4.9984856,-1
4,5.645919,6.415949,1
5,7.6310396,6.6794076,2
6,9.085773,6.8763585,-1
7,6.003031,6.615453,1
8,8.35002,6.914514,2
9,8.961117,6.789996,-1
10,8.856646,5.9942155,-1
11,7.3686547,6.6778274,1
12,7.0618873,4.118111,0
13,7.2362227,4.502275,0
14,6.397507,4.702242,0
15,8.9488,5.190391,-1
16,7.430143,4.3129873,0
17,6.7625437,4.428596,0
18,6.7723446,4.5239377,0
19,7.361228,5.314489,-1
20,6.8425035,4.182421,0
21,9.699181,5.8239584,3
22,7.0447783,4.7473817,0
23,8.536537,6.404536,2
24,7.6601763,5.6634693,1
25,8.15637,6.199577,2
26,6.963657,5.8927827,1
27,8.264808,6.69116,2
28,6.2234044,6.4520893,1
29,6.636899,6.086975,1
30,10.593023,5.8273115,4
31,6.4638515,5.9435935,1
32,6.479632,6.4688087,1
33,6.391875,5.4298854,1
34,10.349276,6.490178,4
35,5.699968,6.248909,1
36,5.734628,5.207203,1
37,6.1435947,5.671867,1
38,9.965942,6.8898206,3
39,9.389465,5.367099,4
40,9.535289,6.1864142,3
41,7.8617864,6.3950233,2
42,10.4715185,6.2599487,4
43,10.018921,5.5014725,4
44,5.9845624,6.0362797,1
45,5.7267013,5.5622745,-1
46,6.1874294,5.487755,1
47,9.027226,5.586055,4
48,10.56179,6.3699875,4
49,10.112105,6.570215,3
50,10.164594,6.077827,4
51,5.9120984,5.6540327,1
52,7.3933797,6.1316996,1
53,9.574169,6.660741,3
54,5.9222803,5.2687373,1
55,6.3290105,6.187279,1
56,9.962932,6.0405145,4
57,9.773779,6.8919992,3
58,10.412847,5.9545145,4
59,8.299551,6.063359,2
60,5.591365,5.8192754,-1
61,6.8732247,5.8085465,1
62,9.932032,6.445867,3
63,6.5070186,5.279611,1
64,8.34394,6.800356,2
65,8.3336315,6.0693192,2
